%time,field.header.seq,field.header.stamp,field.header.frame_id,field.latitude,field.longitude,field.altitude,field.utm_east,field.utm_north,field.latitude_std,field.longitude_std,field.altitude_std,field.north_velocity,field.east_velocity,field.up_velocity,field.north_velocity_std,field.east_velocity_std,field.up_velocity_std,field.roll,field.pitch,field.yaw,field.x,field.y,field.z,field.w,field.roll_std,field.pitch_std,field.yaw_std,field.roll_rate,field.pitch_rate,field.yaw_rate,field.ax,field.ay,field.az,field.init_position,field.init_velocity,field.init_pitchroll,field.init_yaw,field.gps_status,field.gps_satellitenum,field.wheelspeed_status,field.temperature
1561680830513850695,116041,1561680830513676511,gps,38.9794454,117.7866735,4.75199985504,568139.594019,4314789.88453,0.0403566099703,0.0428521223366,0.0555762052536,2.76489257812,-3.79943847656,0.0396728515625,0.0323869399726,0.0330411978066,0.0301973838359,-0.966796875,0.142822265625,-53.9538574219,-0.00695340674312,0.00493789646872,-0.453605813034,0.891161620412,0.175520405173,0.184519514441,0.227637678385,0.18310546875,-0.311279296875,2.36206054688,0.01171875,0.0721435546875,0.985473632812,1,1,1,1,50,13,1,46.0021972656
1561680830534253757,116042,1561680830534099179,gps,38.9794459,117.7866727,4.75199985504,568139.524245,4314789.93942,0.0403566099703,0.0428521223366,0.0555762052536,2.78930664062,-3.79943847656,0.01220703125,0.0323869399726,0.0330411978066,0.0301973838359,-0.966796875,0.142822265625,-53.8989257812,-0.00695577301858,0.00493456265389,-0.453178565681,0.891378962575,0.175520405173,0.184519514441,0.227637678385,-0.283813476562,0.173950195312,2.33459472656,-0.0076904296875,0.0120849609375,1.00744628906,1,1,1,1,50,13,1,46.0021972656
1561680830554376035,116043,1561680830554207792,gps,38.9794463,117.7866717,4.75199985504,568139.437243,4314789.98306,0.0403566099703,0.0428521223366,0.0555762052536,2.76489257812,-3.81164550781,0.0152587890625,0.0323869399726,0.0330411978066,0.0301973838359,-0.966796875,0.15380859375,-53.8659667969,-0.00691376681822,0.00501803326531,-0.452921389938,0.891509525304,0.175520405173,0.184519514441,0.227637678385,0.119018554688,0.146484375,2.54516601562,-0.032958984375,-0.024169921875,1.01733398438,1,1,1,1,50,13,1,46.0021972656
1561680830574158972,116044,1561680830573994442,gps,38.9794468,117.7866708,4.75299978256,568139.358808,4314790.03787,0.0403566099703,0.0428521223366,0.0555762052536,2.76794433594,-3.80554199219,0.0152587890625,0.0323869399726,0.0330411978066,0.0301973838359,-0.966796875,0.15380859375,-53.8220214844,-0.00691569070143,0.00501538150001,-0.45257946702,0.891683152921,0.175520405173,0.184519514441,0.227637678385,0.128173828125,0.146484375,2.39868164062,-0.008056640625,0.029296875,0.990234375,1,1,1,1,50,13,1,46.0021972656
1561680830593946393,116045,1561680830593816995,gps,38.9794473,117.7866699,4.75299978256,568139.280372,4314790.09269,0.0403566099703,0.0428521223366,0.0555762052536,2.783203125,-3.80249023438,0.006103515625,0.0323869399726,0.0330411978066,0.0301973838359,-0.966796875,0.15380859375,-53.7780761719,-0.00691761356756,0.00501272899711,-0.452237477542,0.891856649399,0.175520405173,0.184519514441,0.227637678385,-0.25634765625,0.25634765625,2.4169921875,0.0076904296875,0.0823974609375,0.98876953125,1,1,1,1,50,13,1,46.0021972656
1561680830614312557,116046,1561680830614064975,gps,38.9794478,117.7866691,4.75299978256,568139.210598,4314790.14757,0.0403566099703,0.0428521223366,0.0555762052536,2.80151367188,-3.79333496094,-0.0,0.0323869399726,0.0330411978066,0.0301973838359,-0.977783203125,0.164794921875,-53.7231445312,-0.00696222347111,0.00513825442037,-0.451808624814,0.892072918729,0.175520405173,0.184519514441,0.227637678385,-0.485229492188,0.347900390625,2.30712890625,-0.00439453125,0.063720703125,0.97412109375,1,1,1,1,50,13,1,46.0021972656
1561680830633966164,116047,1561680830633788231,gps,38.9794483,117.7866682,4.75299978256,568139.132162,4314790.20239,0.0395574979484,0.0415856540203,0.0566989332438,2.8076171875,-3.7841796875,0.0091552734375,0.0323869399726,0.0330411978066,0.0301973838359,-0.98876953125,0.17578125,-53.6791992188,-0.007006450533,0.00526440970965,-0.45146518902,0.892245694159,0.175520405173,0.184519514441,0.227637678385,-0.5126953125,0.247192382812,2.17895507812,-0.0029296875,0.022705078125,1.01000976562,1,1,1,1,50,13,1,46.0021972656
1561680830653936056,116048,1561680830653768625,gps,38.9794488,117.7866673,4.75400018692,568139.053726,4314790.2572,0.0395574979484,0.0415856540203,0.0566989332438,2.80456542969,-3.7841796875,0.0244140625,0.0354369617999,0.0376282595098,0.0320646837354,-0.999755859375,0.17578125,-53.6462402344,-0.00709351979804,0.00530565333969,-0.451208034796,0.892374832318,0.175520405173,0.184519514441,0.227637678385,-0.320434570312,-0.0457763671875,2.06909179688,0.016845703125,0.032958984375,0.993896484375,1,1,1,1,50,13,1,46.0021972656
1561680830674188968,116049,1561680830674051972,gps,38.9794493,117.7866664,4.75400018692,568138.97529,4314790.31201,0.0395574979484,0.0415856540203,0.0566989332438,2.80151367188,-3.79943847656,0.0152587890625,0.0354369617999,0.0376282595098,0.0320646837354,-0.999755859375,0.17578125,-53.6022949219,-0.00709555396894,0.00530293261884,-0.450865780163,0.892547802808,0.168638154864,0.179066136479,0.212247982621,-0.247192382812,0.100708007812,2.2705078125,0.0164794921875,0.0615234375,0.992065429688,1,1,1,1,50,13,1,46.0021972656
1561680830694063566,116050,1561680830693910970,gps,38.9794498,117.7866656,4.75400018692,568138.905516,4314790.3669,0.0395574979484,0.0415856540203,0.0566989332438,2.81372070312,-3.78723144531,0.018310546875,0.0354369617999,0.0376282595098,0.0320646837354,-1.0107421875,0.17578125,-53.5583496094,-0.00718317558318,0.00534340448935,-0.450522949,0.892719957457,0.168638154864,0.179066136479,0.212247982621,-0.494384765625,0.03662109375,2.13317871094,-0.0091552734375,0.0703125,0.995727539062,1,1,1,1,50,13,1,46.0021972656
